cohort_month,market,region,device_type,households,activation_rate,first_week_hours,first_week_app_installs,trc_usage_rate,subscription_conversion_rate,monthly_streaming_hours,ad_supported_share,ad_impressions_per_hour,cpm,fill_rate,subscription_arpu,gross_margin,month_1_retention,month_3_retention,month_6_retention,month_12_retention,support_cost_per_household
2025-01,United States,North America,Smart TV OS,20743,0.917,23.7,6.5,0.428,0.267,169.9,0.577,19.7,34.73,0.803,10.31,0.569,0.746,0.698,0.632,0.517,0.52
2025-01,United States,North America,Streaming Stick,14376,0.88,21.2,5.7,0.44,0.261,135.3,0.602,20.7,29.08,0.821,10.17,0.636,0.73,0.68,0.611,0.493,0.6
2025-01,United States,North America,Streaming Box,7670,0.825,19.2,4.8,0.375,0.25,134.5,0.647,24.3,33.95,0.806,9.78,0.585,0.703,0.654,0.586,0.471,0.51
2025-01,United States,North America,Partner TV,7099,0.748,19.1,5.2,0.394,0.241,133.4,0.695,22.7,31.82,0.716,10.25,0.557,0.697,0.647,0.578,0.461,0.56
2025-01,Canada,North America,Smart TV OS,4323,0.947,20.9,6.2,0.456,0.213,158.3,0.645,18.9,24.78,0.779,9.25,0.575,0.738,0.692,0.628,0.516,0.49
2025-01,Canada,North America,Streaming Stick,3150,0.833,18.2,4.8,0.44,0.212,139.5,0.642,20.5,23.43,0.779,9.11,0.483,0.69,0.643,0.578,0.467,0.46
2025-01,Canada,North America,Streaming Box,1843,0.756,19.1,5.1,0.353,0.21,135.2,0.61,17.0,25.93,0.842,8.72,0.567,0.685,0.634,0.566,0.45,0.51
2025-01,Canada,North America,Partner TV,1807,0.655,16.7,4.7,0.329,0.201,114.1,0.629,16.4,23.97,0.842,8.67,0.609,0.662,0.612,0.543,0.427,0.51
2025-01,Mexico,Latin America,Smart TV OS,7595,0.89,20.5,5.3,0.43,0.123,127.5,0.662,20.9,8.98,0.821,5.03,0.465,0.657,0.612,0.55,0.445,0.24
2025-01,Mexico,Latin America,Streaming Stick,5271,0.729,17.4,4.2,0.395,0.119,133.3,0.596,18.8,9.29,0.888,5.12,0.589,0.614,0.569,0.508,0.404,0.27
2025-01,Mexico,Latin America,Streaming Box,2382,0.755,18.1,4.7,0.402,0.127,133.3,0.612,18.6,9.78,0.822,4.76,0.501,0.621,0.576,0.514,0.41,0.27
2025-01,Mexico,Latin America,Partner TV,2755,0.73,18.5,5.3,0.362,0.12,115.9,0.641,23.5,8.57,0.739,4.86,0.616,0.626,0.58,0.516,0.41,0.27
2025-01,Brazil,Latin America,Smart TV OS,7486,0.908,21.5,6.5,0.417,0.125,142.2,0.612,16.1,7.09,0.805,4.57,0.468,0.642,0.599,0.54,0.44,0.22
2025-01,Brazil,Latin America,Streaming Stick,6097,0.788,16.5,5.3,0.385,0.103,128.9,0.596,19.0,7.48,0.827,4.69,0.544,0.596,0.552,0.493,0.392,0.24
2025-01,Brazil,Latin America,Streaming Box,3033,0.893,20.4,4.8,0.388,0.116,137.0,0.606,20.7,7.93,0.816,4.31,0.521,0.636,0.592,0.532,0.43,0.23
2025-01,Brazil,Latin America,Partner TV,3018,0.579,13.5,4.1,0.284,0.1,91.3,0.532,20.5,7.12,0.736,4.6,0.623,0.566,0.519,0.457,0.354,0.2
2025-01,United Kingdom,Europe,Smart TV OS,5603,0.799,17.6,5.7,0.384,0.18,123.4,0.613,17.2,18.99,0.787,8.21,0.528,0.692,0.643,0.576,0.462,0.49
2025-01,United Kingdom,Europe,Streaming Stick,4037,0.885,20.4,5.8,0.477,0.187,158.4,0.725,21.7,20.65,0.762,8.38,0.56,0.688,0.642,0.579,0.471,0.44
2025-01,United Kingdom,Europe,Streaming Box,1877,0.98,24.7,5.5,0.511,0.213,172.3,0.623,23.8,19.47,0.787,8.5,0.609,0.73,0.683,0.62,0.509,0.48
